<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.11.03	16:00:00	174.07	176.33	173.30	175.30	8373	0	11
2023.11.03	17:00:00	175.27	175.88	174.40	175.67	11346	0	11
2023.11.03	18:00:00	175.67	175.73	174.57	175.38	6905	0	11
2023.11.03	19:00:00	175.38	176.43	175.25	176.12	5540	0	11
2023.11.03	20:00:00	176.12	176.36	175.13	175.51	4830	0	11
2023.11.03	21:00:00	175.51	176.18	175.01	176.05	4989	0	11
2023.11.03	22:00:00	176.05	176.76	175.79	176.56	5621	0	11
2023.11.06	16:00:00	176.46	178.69	176.15	178.52	9019	0	11
2023.11.06	17:00:00	178.52	179.00	177.87	178.69	10673	0	11
2023.11.06	18:00:00	178.69	179.37	178.67	179.20	5809	0	11
2023.11.06	19:00:00	179.20	179.21	178.59	178.84	4865	0	11
2023.11.06	20:00:00	178.84	178.84	177.96	178.30	6281	0	11
2023.11.06	21:00:00	178.30	179.16	178.06	179.16	5863	0	11
2023.11.06	22:00:00	179.16	179.27	178.64	179.24	4949	0	11
2023.11.07	16:00:00	179.22	180.47	178.89	180.14	7186	0	11
2023.11.07	17:00:00	180.14	181.21	180.08	181.16	8195	0	11
2023.11.07	18:00:00	181.16	181.58	181.03	181.42	4476	0	11
2023.11.07	19:00:00	181.42	181.53	180.47	181.52	6956	0	11
2023.11.07	20:00:00	181.52	182.39	181.46	182.32	4332	0	11
2023.11.07	21:00:00	182.32	182.37	181.85	181.99	3129	0	11
2023.11.07	22:00:00	181.99	182.28	181.50	181.80	4942	0	11
2023.11.08	16:00:00	182.20	183.39	182.12	182.91	7491	0	11
2023.11.08	17:00:00	182.91	183.27	182.23	182.52	11711	0	11
2023.11.08	18:00:00	182.53	182.79	181.95	181.95	8562	0	11
2023.11.08	19:00:00	181.95	182.23	181.54	182.09	6767	0	11
2023.11.08	20:00:00	182.10	182.69	181.95	182.54	5952	0	11
2023.11.08	21:00:00	182.54	182.83	182.31	182.37	3790	0	11
2023.11.08	22:00:00	182.37	182.94	182.35	182.85	4290	0	11
2023.11.09	16:00:00	182.88	183.49	182.66	183.24	6739	0	11
2023.11.09	17:00:00	183.24	183.35	182.42	183.30	10168	0	11
2023.11.09	18:00:00	183.30	184.06	183.27	183.91	6143	0	11
2023.11.09	19:00:00	183.91	183.95	183.45	183.87	5516	0	11
2023.11.09	20:00:00	183.87	183.92	182.63	183.06	11639	0	11
2023.11.09	21:00:00	183.05	183.05	182.10	182.32	11315	0	11
2023.11.09	22:00:00	182.32	182.40	181.75	182.37	9434	0	11
2023.11.10	16:00:00	183.92	184.73	183.62	184.12	8055	0	11
2023.11.10	17:00:00	184.11	184.43	183.47	184.27	13010	0	11
2023.11.10	18:00:00	184.27	184.88	184.24	184.67	5725	0	11
2023.11.10	19:00:00	184.67	185.37	184.60	185.22	5409	0	11
2023.11.10	20:00:00	185.22	185.77	185.11	185.69	5110	0	11
2023.11.10	21:00:00	185.69	185.92	185.50	185.53	3575	0	11
2023.11.10	22:00:00	185.53	186.51	185.53	186.34	5319	0	11
2023.11.13	16:00:00	185.72	185.97	184.21	184.54	6304	0	11
2023.11.13	17:00:00	184.54	184.90	184.15	184.59	6755	0	11
2023.11.13	18:00:00	184.59	185.08	184.58	184.73	4611	0	11
2023.11.13	19:00:00	184.73	184.84	184.34	184.75	4025	0	11
2023.11.13	20:00:00	184.75	184.93	184.40	184.67	3549	0	11
2023.11.13	21:00:00	184.67	184.95	184.54	184.89	3258	0	11
2023.11.13	22:00:00	184.89	185.02	184.56	184.69	4140	0	11
2023.11.14	16:00:00	187.60	187.65	186.23	187.20	8663	0	11
2023.11.14	17:00:00	187.20	187.46	186.80	186.97	8277	0	11
2023.11.14	18:00:00	186.97	187.10	186.36	186.60	5652	0	11
2023.11.14	19:00:00	186.60	187.41	186.57	187.37	4025	0	11
2023.11.14	20:00:00	187.37	187.44	187.06	187.13	3014	0	11
2023.11.14	21:00:00	187.14	187.93	186.77	187.85	3899	0	11
2023.11.14	22:00:00	187.85	188.05	187.15	187.36	3980	0	11
2023.11.15	16:00:00	187.91	188.64	187.74	188.17	7046	0	11
2023.11.15	17:00:00	188.16	189.18	187.79	189.12	7539	0	11
2023.11.15	18:00:00	189.12	189.44	188.55	188.70	5499	0	11
2023.11.15	19:00:00	188.70	189.11	188.48	188.74	4230	0	11
2023.11.15	20:00:00	188.75	189.02	188.40	188.89	4145	0	11
2023.11.15	21:00:00	188.89	188.91	188.12	188.26	3524	0	11
2023.11.15	22:00:00	188.26	188.51	187.73	188.06	5491	0	11
2023.11.16	16:00:00	189.53	190.89	189.48	190.63	7167	0	11
2023.11.16	17:00:00	190.63	190.80	188.96	189.40	12386	0	11
2023.11.16	18:00:00	189.40	189.51	188.67	189.23	8397	0	11
2023.11.16	19:00:00	189.23	189.92	189.13	189.70	5102	0	11
2023.11.16	20:00:00	189.70	189.72	188.94	189.22	5303	0	11
2023.11.16	21:00:00	189.22	189.68	189.15	189.52	4825	0	11
2023.11.16	22:00:00	189.52	189.81	189.28	189.70	4933	0	11
2023.11.17	16:00:00	190.13	190.31	189.09	189.71	6398	0	11
2023.11.17	17:00:00	189.72	189.72	188.52	189.52	9017	0	11
2023.11.17	18:00:00	189.52	189.54	188.77	189.19	6942	0	11
2023.11.17	19:00:00	189.19	189.40	188.84	189.20	3562	0	11
2023.11.17	20:00:00	189.20	189.68	189.03	189.48	3324	0	11
2023.11.17	21:00:00	189.49	189.91	189.48	189.91	3005	0	11
2023.11.17	22:00:00	189.91	190.09	189.47	189.66	5101	0	11
