<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.01.01	00:00:00	1197.5	1202.2	1188.4	1200.9	11661	0	0
2023.01.02	00:00:00	1200.5	1221.3	1191.0	1217.9	18671	0	0
2023.01.03	00:00:00	1217.2	1217.9	1203.0	1208.9	21810	0	0
2023.01.04	00:00:00	1209.2	1268.5	1207.8	1250.3	31910	0	0
2023.01.05	00:00:00	1250.9	1257.7	1239.3	1250.3	19549	0	0
2023.01.06	00:00:00	1250.2	1273.9	1233.9	1264.8	24082	0	0
2023.01.07	00:00:00	1264.4	1269.7	1259.9	1263.6	10783	0	0
2023.01.08	00:00:00	1262.5	1277.5	1256.3	1268.6	12629	0	0
2023.01.09	00:00:00	1268.0	1343.2	1266.4	1315.9	53567	0	0
2023.01.10	00:00:00	1316.6	1344.6	1313.6	1337.9	38312	0	0
2023.01.11	00:00:00	1336.9	1343.4	1319.3	1340.6	41808	0	0
2023.01.12	00:00:00	1341.1	1435.4	1338.8	1425.0	95237	0	0
2023.01.13	00:00:00	1424.5	1454.5	1399.3	1452.2	78470	0	0
2023.01.14	00:00:00	1453.5	1591.0	1440.3	1534.4	89553	0	0
2023.01.15	00:00:00	1536.3	1564.3	1513.9	1550.4	88579	0	0
2023.01.16	00:00:00	1550.2	1599.1	1519.2	1577.3	109220	0	0
2023.01.17	00:00:00	1577.5	1604.8	1539.9	1580.0	99081	0	0
2023.01.18	00:00:00	1579.3	1607.3	1499.1	1526.4	105450	0	0
2023.01.19	00:00:00	1526.5	1562.7	1506.0	1544.6	80229	0	0
2023.01.20	00:00:00	1543.3	1647.8	1540.5	1637.3	87796	0	0
2023.01.21	00:00:00	1635.6	1675.1	1619.0	1657.4	72626	0	0
2023.01.22	00:00:00	1660.5	1662.1	1598.6	1626.7	83918	0	0
2023.01.23	00:00:00	1626.4	1645.1	1584.1	1630.5	102120	0	0
2023.01.24	00:00:00	1630.3	1639.7	1588.7	1595.0	74315	0	0
2023.01.25	00:00:00	1597.2	1621.8	1515.5	1617.6	81529	0	0
2023.01.26	00:00:00	1617.1	1638.9	1573.5	1601.5	96596	0	0
2023.01.27	00:00:00	1601.4	1620.1	1551.2	1597.1	77321	0	0
2023.01.28	00:00:00	1597.6	1605.3	1555.0	1566.2	29967	0	0
