<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.01.02	00:00:00	0.88384	0.88737	0.88354	0.88438	34028	0	50
2023.01.03	00:00:00	0.88438	0.88624	0.87826	0.88145	124818	0	50
2023.01.04	00:00:00	0.88045	0.88210	0.87809	0.87944	119385	0	50
2023.01.05	00:00:00	0.87948	0.88630	0.87817	0.88331	117068	0	50
2023.01.06	00:00:00	0.88300	0.88704	0.87973	0.87983	124055	0	50
2023.01.09	00:00:00	0.87958	0.88240	0.87688	0.88077	107305	0	50
2023.01.10	00:00:00	0.87976	0.88464	0.87964	0.88332	125270	0	50
2023.01.11	00:00:00	0.88263	0.88814	0.88229	0.88537	104076	0	50
2023.01.12	00:00:00	0.88533	0.88954	0.88322	0.88841	127441	0	50
2023.01.13	00:00:00	0.88784	0.88972	0.88516	0.88529	119771	0	50
2023.01.16	00:00:00	0.88562	0.88787	0.88467	0.88735	92061	0	50
2023.01.17	00:00:00	0.88676	0.88874	0.87777	0.87783	122311	0	50
2023.01.18	00:00:00	0.87737	0.88033	0.87345	0.87435	126989	0	50
2023.01.19	00:00:00	0.87389	0.87871	0.87218	0.87405	116373	0	50
2023.01.20	00:00:00	0.87403	0.87860	0.87379	0.87547	91951	0	50
2023.01.23	00:00:00	0.87612	0.88150	0.87537	0.87818	94220	0	50
2023.01.24	00:00:00	0.87817	0.88470	0.87670	0.88231	81688	0	50
2023.01.25	00:00:00	0.88221	0.88519	0.87990	0.88014	88641	0	50
2023.01.26	00:00:00	0.88008	0.88145	0.87727	0.87748	83600	0	50
2023.01.27	00:00:00	0.87769	0.88046	0.87636	0.87654	74404	0	50
2023.01.30	00:00:00	0.87629	0.88035	0.87566	0.87857	101564	0	50
2023.01.31	00:00:00	0.87835	0.88300	0.87718	0.88166	98117	0	50
2023.02.01	00:00:00	0.88089	0.88827	0.88076	0.88821	90193	0	50
2023.02.02	00:00:00	0.88681	0.89558	0.88681	0.89247	113774	0	50
2023.02.03	00:00:00	0.89235	0.89789	0.89125	0.89557	101872	0	50
2023.02.06	00:00:00	0.89575	0.89646	0.89149	0.89211	88895	0	50
2023.02.07	00:00:00	0.89243	0.89406	0.88978	0.89033	106062	0	50
2023.02.08	00:00:00	0.88994	0.89109	0.88742	0.88754	96310	0	50
2023.02.09	00:00:00	0.88731	0.88842	0.88383	0.88610	94238	0	50
2023.02.10	00:00:00	0.88522	0.88726	0.88237	0.88550	114831	0	50
2023.02.13	00:00:00	0.88407	0.88747	0.88236	0.88342	86158	0	50
2023.02.14	00:00:00	0.88294	0.88481	0.88002	0.88170	115747	0	50
2023.02.15	00:00:00	0.88197	0.89025	0.88159	0.88804	114259	0	50
2023.02.16	00:00:00	0.88772	0.89094	0.88696	0.89025	123015	0	50
2023.02.17	00:00:00	0.88978	0.89287	0.88729	0.88810	110126	0	50
2023.02.20	00:00:00	0.88775	0.88914	0.88706	0.88728	99304	0	50
2023.02.21	00:00:00	0.88676	0.88865	0.87894	0.87898	113996	0	50
2023.02.22	00:00:00	0.87897	0.88223	0.87807	0.88038	117449	0	50
2023.02.23	00:00:00	0.87889	0.88237	0.87889	0.88166	109389	0	50
2023.02.24	00:00:00	0.88144	0.88360	0.87979	0.88316	125988	0	50
2023.02.27	00:00:00	0.88153	0.88354	0.87893	0.87941	99056	0	50
2023.02.28	00:00:00	0.87945	0.88117	0.87549	0.87952	100867	0	50
