<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.01.02	00:00:00	139.884	140.203	139.219	139.238	48991	0	50
2023.01.03	00:00:00	139.393	140.016	137.385	138.170	180985	0	50
2023.01.04	00:00:00	138.147	140.756	137.873	140.661	180038	0	50
2023.01.05	00:00:00	140.389	141.363	139.966	140.395	173004	0	50
2023.01.06	00:00:00	140.352	141.447	140.229	140.651	161421	0	50
2023.01.09	00:00:00	140.318	141.915	140.166	141.545	161332	0	50
2023.01.10	00:00:00	141.388	142.051	141.084	141.950	168692	0	50
2023.01.11	00:00:00	141.803	142.854	141.745	142.513	146834	0	50
2023.01.12	00:00:00	142.328	142.501	140.011	140.330	181418	0	50
2023.01.13	00:00:00	140.204	140.396	138.011	138.512	173120	0	50
2023.01.16	00:00:00	138.328	139.291	138.235	139.045	122964	0	50
2023.01.17	00:00:00	138.977	139.617	138.200	138.254	159077	0	50
2023.01.18	00:00:00	138.047	141.683	138.047	139.144	211842	0	50
2023.01.19	00:00:00	139.066	139.426	137.916	139.093	162660	0	50
2023.01.20	00:00:00	139.040	141.197	138.974	140.683	144226	0	50
2023.01.23	00:00:00	140.697	142.083	140.471	142.068	149195	0	50
2023.01.24	00:00:00	141.983	142.209	141.255	141.739	133474	0	50
2023.01.25	00:00:00	141.685	142.298	140.758	141.463	143215	0	50
2023.01.26	00:00:00	141.449	141.912	140.872	141.826	141690	0	50
2023.01.27	00:00:00	141.820	141.820	140.819	141.100	135680	0	50
2023.01.30	00:00:00	140.826	141.973	140.553	141.547	152357	0	50
2023.01.31	00:00:00	141.459	141.618	140.744	141.307	143184	0	50
2023.02.01	00:00:00	141.197	141.834	140.906	141.725	142131	0	50
2023.02.02	00:00:00	141.579	141.943	140.085	140.426	152496	0	50
2023.02.03	00:00:00	140.259	142.346	139.933	141.592	152489	0	50
2023.02.06	00:00:00	142.746	142.841	141.980	142.251	149783	0	50
2023.02.07	00:00:00	142.231	142.341	140.286	140.611	158317	0	50
2023.02.08	00:00:00	140.526	141.030	140.290	140.825	143957	0	50
2023.02.09	00:00:00	140.606	141.332	140.392	141.229	144743	0	50
2023.02.10	00:00:00	141.152	141.510	139.555	140.287	164884	0	50
2023.02.13	00:00:00	140.122	142.384	140.107	142.019	127897	0	50
2023.02.14	00:00:00	141.898	142.944	141.518	142.881	167601	0	50
2023.02.15	00:00:00	142.902	143.436	142.347	143.375	145685	0	50
2023.02.16	00:00:00	143.353	143.438	142.853	142.953	160278	0	50
2023.02.17	00:00:00	142.944	143.674	142.799	143.456	143524	0	50
2023.02.20	00:00:00	143.378	143.655	143.030	143.448	115118	0	50
2023.02.21	00:00:00	143.373	144.163	143.170	143.753	135521	0	50
2023.02.22	00:00:00	143.690	143.888	143.044	143.095	148338	0	50
2023.02.23	00:00:00	142.827	143.513	142.560	142.680	128950	0	50
2023.02.24	00:00:00	142.691	144.009	142.152	143.921	161257	0	50
2023.02.27	00:00:00	143.846	144.548	143.565	144.522	128045	0	50
2023.02.28	00:00:00	144.412	145.471	143.875	144.066	133363	0	50
2023.03.01	00:00:00	143.953	145.355	143.862	145.301	154479	0	50
2023.03.02	00:00:00	145.232	145.568	144.772	144.917	150415	0	50
2023.03.03	00:00:00	144.936	145.039	144.292	144.442	129983	0	50
2023.03.06	00:00:00	144.428	145.382	144.113	145.201	133818	0	50
2023.03.07	00:00:00	145.132	145.439	144.557	144.682	132439	0	50
2023.03.08	00:00:00	144.742	145.231	144.236	144.810	129587	0	50
2023.03.09	00:00:00	144.800	144.829	143.621	144.070	128379	0	50
2023.03.10	00:00:00	144.001	145.109	143.350	143.688	188809	0	50
2023.03.13	00:00:00	143.600	144.388	141.368	142.997	225466	0	50
2023.03.14	00:00:00	142.782	144.409	142.535	144.041	184331	0	50
2023.03.15	00:00:00	144.042	144.966	139.478	141.107	199232	0	50
2023.03.16	00:00:00	140.974	142.003	139.119	141.954	191888	0	50
2023.03.17	00:00:00	141.830	142.209	140.160	140.588	168382	0	50
2023.03.20	00:00:00	140.798	141.749	138.824	140.812	191230	0	50
2023.03.21	00:00:00	140.759	142.791	140.420	142.653	141396	0	50
2023.03.22	00:00:00	142.549	143.627	142.303	142.756	150043	0	50
2023.03.23	00:00:00	142.502	143.197	141.160	141.737	166028	0	50
2023.03.24	00:00:00	141.606	141.844	139.069	140.660	168660	0	50
2023.03.27	00:00:00	140.714	142.223	140.481	142.065	132133	0	50
2023.03.28	00:00:00	142.001	142.153	141.046	141.971	129677	0	50
2023.03.29	00:00:00	141.883	144.096	141.744	144.081	131239	0	50
2023.03.30	00:00:00	144.059	145.083	143.139	144.698	132221	0	50
2023.03.31	00:00:00	144.626	145.674	143.885	144.012	135663	0	50
2023.04.03	00:00:00	144.507	144.939	143.624	144.353	141972	0	50
2023.04.04	00:00:00	144.230	145.440	143.959	144.311	132472	0	50
2023.04.05	00:00:00	144.036	144.442	142.673	143.162	131747	0	50
2023.04.06	00:00:00	142.904	144.002	142.549	143.863	108552	0	50
2023.04.07	00:00:00	143.847	144.215	143.507	143.965	88712	0	50
2023.04.10	00:00:00	144.052	145.152	143.799	145.098	108943	0	50
2023.04.11	00:00:00	145.072	145.963	144.873	145.897	119210	0	50
2023.04.12	00:00:00	145.836	146.667	145.634	146.341	135363	0	50
2023.04.13	00:00:00	146.268	146.887	146.075	146.459	116118	0	50
2023.04.14	00:00:00	146.447	147.161	146.194	147.054	127589	0	50
2023.04.17	00:00:00	146.978	147.453	146.662	146.942	116010	0	50
2023.04.18	00:00:00	146.772	147.383	146.726	147.156	116719	0	50
2023.04.19	00:00:00	147.108	147.861	147.016	147.592	120895	0	50
2023.04.20	00:00:00	147.518	147.831	147.019	147.273	123062	0	50
2023.04.21	00:00:00	147.184	147.567	146.403	147.396	115357	0	50
2023.04.24	00:00:00	147.167	148.473	147.083	148.299	106924	0	50
2023.04.25	00:00:00	148.253	148.625	146.287	146.747	131728	0	50
2023.04.26	00:00:00	146.689	147.917	146.459	147.540	144464	0	50
2023.04.27	00:00:00	147.554	147.990	147.124	147.739	131370	0	50
2023.04.28	00:00:00	147.635	150.434	146.833	150.042	168984	0	50
2023.05.01	00:00:00	150.228	150.963	149.950	150.928	119285	0	50
2023.05.02	00:00:00	150.895	151.615	149.831	150.253	135922	0	50
2023.05.03	00:00:00	150.202	150.394	149.067	149.122	141677	0	50
2023.05.04	00:00:00	148.980	149.202	147.133	147.871	168509	0	50
2023.05.05	00:00:00	147.844	148.704	147.686	148.562	125355	0	50
2023.05.08	00:00:00	148.603	149.268	148.452	148.678	116010	0	50
2023.05.09	00:00:00	148.664	148.694	147.888	148.228	127932	0	50
