<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.01.02	00:00:00	1.06975	1.07070	1.06507	1.06586	27935	0	50
2023.01.03	00:00:00	1.06642	1.06836	1.05197	1.05488	123074	0	50
2023.01.04	00:00:00	1.05471	1.06353	1.05409	1.06039	122658	0	50
2023.01.05	00:00:00	1.05997	1.06316	1.05152	1.05221	112909	0	50
2023.01.06	00:00:00	1.05216	1.06481	1.04834	1.06431	108252	0	50
2023.01.09	00:00:00	1.06398	1.07607	1.06370	1.07327	101106	0	50
2023.01.10	00:00:00	1.07247	1.07594	1.07122	1.07342	104777	0	50
2023.01.11	00:00:00	1.07328	1.07765	1.07256	1.07564	82928	0	50
2023.01.12	00:00:00	1.07573	1.08669	1.07283	1.08510	130685	0	50
2023.01.13	00:00:00	1.08522	1.08680	1.07805	1.08327	103547	0	50
2023.01.16	00:00:00	1.08288	1.08742	1.08016	1.08221	67199	0	50
2023.01.17	00:00:00	1.08213	1.08695	1.07749	1.07881	107402	0	50
2023.01.18	00:00:00	1.07880	1.08875	1.07663	1.07942	134301	0	50
2023.01.19	00:00:00	1.07927	1.08399	1.07825	1.08308	103387	0	50
2023.01.20	00:00:00	1.08304	1.08589	1.08024	1.08559	82639	0	50
2023.01.23	00:00:00	1.08682	1.09269	1.08464	1.08713	93463	0	50
2023.01.24	00:00:00	1.08709	1.08980	1.08352	1.08882	81492	0	50
2023.01.25	00:00:00	1.08849	1.09237	1.08574	1.09151	83900	0	50
2023.01.26	00:00:00	1.09148	1.09296	1.08507	1.08912	82352	0	50
2023.01.27	00:00:00	1.08922	1.09004	1.08380	1.08673	75083	0	50
2023.01.30	00:00:00	1.08651	1.09138	1.08393	1.08514	82778	0	50
2023.01.31	00:00:00	1.08462	1.08749	1.08021	1.08614	88126	0	50
2023.02.01	00:00:00	1.08593	1.10008	1.08523	1.09893	101455	0	50
2023.02.02	00:00:00	1.09879	1.10330	1.08855	1.09102	118035	0	50
2023.02.03	00:00:00	1.09094	1.09401	1.07924	1.07927	107599	0	50
2023.02.06	00:00:00	1.07820	1.07989	1.07096	1.07256	88298	0	50
2023.02.07	00:00:00	1.07263	1.07667	1.06693	1.07275	114715	0	50
2023.02.08	00:00:00	1.07228	1.07609	1.07095	1.07139	77695	0	50
2023.02.09	00:00:00	1.07093	1.07908	1.07067	1.07385	85218	0	50
2023.02.10	00:00:00	1.07327	1.07528	1.06663	1.06781	91761	0	50
2023.02.13	00:00:00	1.06805	1.07300	1.06557	1.07250	72199	0	50
2023.02.14	00:00:00	1.07171	1.08046	1.07069	1.07356	124234	0	50
2023.02.15	00:00:00	1.07353	1.07446	1.06606	1.06865	92770	0	50
2023.02.16	00:00:00	1.06853	1.07225	1.06545	1.06727	106260	0	50
2023.02.17	00:00:00	1.06698	1.06985	1.06129	1.06935	87804	0	50
2023.02.20	00:00:00	1.06845	1.07047	1.06704	1.06846	50804	0	50
2023.02.21	00:00:00	1.06853	1.06982	1.06375	1.06461	92557	0	50
2023.02.22	00:00:00	1.06417	1.06641	1.05992	1.06048	102120	0	50
2023.02.23	00:00:00	1.06031	1.06278	1.05771	1.05941	82322	0	50
2023.02.24	00:00:00	1.05942	1.06145	1.05362	1.05445	99946	0	50
2023.02.27	00:00:00	1.05483	1.06199	1.05330	1.06088	78623	0	50
2023.02.28	00:00:00	1.06093	1.06453	1.05740	1.05757	83626	0	50
2023.03.01	00:00:00	1.05703	1.06916	1.05654	1.06687	105897	0	50
2023.03.02	00:00:00	1.06662	1.06729	1.05766	1.05970	96930	0	50
2023.03.03	00:00:00	1.05954	1.06388	1.05885	1.06329	82500	0	50
2023.03.06	00:00:00	1.06225	1.06944	1.06220	1.06826	78079	0	50
2023.03.07	00:00:00	1.06787	1.06946	1.05461	1.05490	103339	0	50
2023.03.08	00:00:00	1.05489	1.05739	1.05244	1.05439	80756	0	50
2023.03.09	00:00:00	1.05440	1.05912	1.05368	1.05822	75037	0	50
2023.03.10	00:00:00	1.05798	1.07007	1.05741	1.06391	134867	0	50
2023.03.13	00:00:00	1.06809	1.07487	1.06505	1.07314	183476	0	50
