<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.01.02	00:00:00	157.788	158.411	157.295	157.334	43415	0	150
2023.01.03	00:00:00	157.376	158.381	155.357	156.746	181180	0	150
2023.01.04	00:00:00	156.776	160.179	156.506	159.949	183262	0	150
2023.01.05	00:00:00	159.841	160.037	158.509	158.931	173708	0	150
2023.01.06	00:00:00	158.759	160.018	158.568	159.817	197181	0	150
2023.01.09	00:00:00	159.253	161.228	159.253	160.690	166033	0	150
2023.01.10	00:00:00	160.452	160.930	160.045	160.687	206480	0	150
2023.01.11	00:00:00	160.502	161.211	160.432	160.958	153482	0	150
2023.01.12	00:00:00	160.636	160.939	157.728	157.935	192700	0	150
2023.01.13	00:00:00	157.704	158.019	155.642	156.445	193392	0	150
2023.01.16	00:00:00	156.007	157.076	155.982	156.716	142690	0	150
2023.01.17	00:00:00	156.698	158.032	156.382	157.487	176525	0	150
2023.01.18	00:00:00	157.330	161.524	157.192	159.128	216427	0	150
2023.01.19	00:00:00	159.075	159.222	157.569	159.135	176872	0	150
2023.01.20	00:00:00	159.103	161.286	158.989	160.687	155784	0	150
2023.01.23	00:00:00	160.518	161.807	160.364	161.764	148304	0	150
2023.01.24	00:00:00	161.503	161.768	159.992	160.631	150697	0	150
2023.01.25	00:00:00	160.472	160.927	159.505	160.715	158120	0	150
2023.01.26	00:00:00	160.680	161.731	160.009	161.622	156100	0	150
2023.01.27	00:00:00	161.557	161.596	160.412	160.964	139136	0	150
2023.01.30	00:00:00	160.589	161.420	160.206	161.100	182666	0	150
2023.01.31	00:00:00	160.911	161.194	159.764	160.261	154962	0	150
2023.02.01	00:00:00	160.202	160.670	158.911	159.563	160291	0	150
2023.02.02	00:00:00	159.493	159.608	157.183	157.328	179268	0	150
2023.02.03	00:00:00	157.242	158.753	156.732	158.090	169160	0	150
2023.02.06	00:00:00	159.395	159.952	158.446	159.435	166807	0	150
2023.02.07	00:00:00	159.402	159.572	157.431	157.919	177589	0	150
2023.02.08	00:00:00	157.784	158.832	157.610	158.657	171617	0	150
2023.02.09	00:00:00	158.473	159.507	158.122	159.371	172584	0	150
2023.02.10	00:00:00	159.398	159.634	157.533	158.416	190525	0	150
2023.02.13	00:00:00	158.300	161.192	158.257	160.750	149337	0	150
2023.02.14	00:00:00	160.600	162.177	160.106	162.039	190276	0	150
2023.02.15	00:00:00	161.975	162.057	160.655	161.435	178285	0	150
2023.02.16	00:00:00	161.294	161.512	160.466	160.559	186232	0	150
