<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.01.03	00:00:00	13958.00	14287.00	13893.00	14207.00	49214	0	0
2023.01.04	00:00:00	14191.00	14501.00	14189.00	14485.00	50662	0	0
2023.01.05	00:00:00	14477.00	14504.00	14394.00	14442.00	41862	0	0
2023.01.06	00:00:00	14454.00	14674.00	14377.00	14657.00	44105	0	0
2023.01.09	00:00:00	14670.00	14827.00	14619.00	14727.00	35776	0	0
2023.01.10	00:00:00	14713.00	14840.00	14669.00	14839.00	38655	0	0
2023.01.11	00:00:00	14864.00	15000.00	14791.00	14999.00	29238	0	0
2023.01.12	00:00:00	14987.00	15122.00	14942.00	15093.00	41780	0	0
2023.01.13	00:00:00	15090.00	15148.00	15033.00	15146.00	35974	0	0
2023.01.16	00:00:00	15140.00	15195.00	15080.00	15108.00	16695	0	0
2023.01.17	00:00:00	15127.00	15269.00	15078.00	15183.00	30203	0	0
2023.01.18	00:00:00	15153.00	15266.00	15119.00	15123.00	36062	0	0
2023.01.19	00:00:00	15105.00	15133.00	14900.00	14984.00	39232	0	0
2023.01.20	00:00:00	14991.00	15096.00	14935.00	15093.00	31386	0	0
2023.01.23	00:00:00	15078.00	15145.00	15018.00	15128.00	26479	0	0
2023.01.24	00:00:00	15120.00	15158.00	15016.00	15100.00	28399	0	0
2023.01.25	00:00:00	15083.00	15143.00	14962.00	15142.00	30977	0	0
2023.01.26	00:00:00	15141.00	15218.00	15063.00	15175.00	34953	0	0
2023.01.27	00:00:00	15145.00	15183.00	15070.00	15149.00	25974	0	0
2023.01.30	00:00:00	15148.00	15160.00	14983.00	15100.00	33087	0	0
2023.01.31	00:00:00	15116.00	15192.00	14988.00	15192.00	28924	0	0
2023.02.01	00:00:00	15160.00	15315.00	15101.00	15265.00	32234	0	0
2023.02.02	00:00:00	15274.00	15541.00	15252.00	15521.00	46664	0	0
2023.02.03	00:00:00	15499.00	15505.00	15343.00	15421.00	41016	0	0
2023.02.06	00:00:00	15375.00	15406.00	15275.00	15357.00	34729	0	0
2023.02.07	00:00:00	15388.00	15438.00	15272.00	15433.00	37630	0	0
2023.02.08	00:00:00	15405.00	15489.00	15369.00	15439.00	35189	0	0
2023.02.09	00:00:00	15446.00	15656.00	15402.00	15433.00	37978	0	0
2023.02.10	00:00:00	15437.00	15481.00	15239.00	15328.00	48916	0	0
2023.02.13	00:00:00	15274.00	15427.00	15240.00	15423.00	26375	0	0
2023.02.14	00:00:00	15416.00	15526.00	15358.00	15460.00	49528	0	0
2023.02.15	00:00:00	15431.00	15562.00	15350.00	15562.00	37894	0	0
2023.02.16	00:00:00	15582.00	15631.00	15406.00	15497.00	40299	0	0
2023.02.17	00:00:00	15459.00	15526.00	15289.00	15521.00	41333	0	0
2023.02.20	00:00:00	15490.00	15548.00	15430.00	15469.00	16448	0	0
2023.02.21	00:00:00	15459.00	15484.00	15278.00	15366.00	38830	0	0
2023.02.22	00:00:00	15374.00	15445.00	15239.00	15396.00	46085	0	0
2023.02.23	00:00:00	15431.00	15551.00	15428.00	15528.00	38158	0	0
2023.02.24	00:00:00	15514.00	15541.00	15178.00	15231.00	41887	0	0
2023.02.27	00:00:00	15243.00	15482.00	15232.00	15407.00	31574	0	0
2023.02.28	00:00:00	15424.00	15443.00	15284.00	15355.00	38433	0	0
2023.03.01	00:00:00	15321.00	15479.00	15249.00	15321.00	40758	0	0
2023.03.02	00:00:00	15344.00	15384.00	15142.00	15379.00	45908	0	0
2023.03.03	00:00:00	15366.00	15633.00	15346.00	15625.00	32101	0	0
2023.03.06	00:00:00	15602.00	15678.00	15582.00	15639.00	31513	0	0
2023.03.07	00:00:00	15646.00	15707.00	15514.00	15531.00	37740	0	0
2023.03.08	00:00:00	15522.00	15670.00	15489.00	15651.00	34514	0	0
2023.03.09	00:00:00	15642.00	15666.00	15473.00	15504.00	35993	0	0
2023.03.10	00:00:00	15467.00	15497.00	15270.00	15292.00	72144	0	0
2023.03.13	00:00:00	15424.00	15489.00	14886.00	14973.00	84125	0	0
2023.03.14	00:00:00	14977.00	15274.00	14911.00	15233.00	64197	0	0
2023.03.15	00:00:00	15226.00	15255.00	14685.00	14861.00	56782	0	0
2023.03.16	00:00:00	14873.00	15055.00	14651.00	15050.00	53267	0	0
2023.03.17	00:00:00	15018.00	15151.00	14686.00	14761.00	58595	0	0
2023.03.20	00:00:00	14869.00	14998.00	14460.00	14997.00	64448	0	0
2023.03.21	00:00:00	14987.00	15267.00	14987.00	15266.00	39899	0	0
2023.03.22	00:00:00	15251.00	15306.00	15070.00	15110.00	47968	0	0
2023.03.23	00:00:00	15112.00	15246.00	15010.00	15145.00	52233	0	0
2023.03.24	00:00:00	15123.00	15185.00	14802.00	15021.00	59478	0	0
2023.03.27	00:00:00	15081.00	15194.00	15021.00	15174.00	39607	0	0
2023.03.28	00:00:00	15180.00	15270.00	15085.00	15129.00	31553	0	0
2023.03.29	00:00:00	15167.00	15380.00	15155.00	15369.00	28072	0	0
2023.03.30	00:00:00	15348.00	15547.00	15345.00	15540.00	30113	0	0
2023.03.31	00:00:00	15560.00	15670.00	15509.00	15655.00	26802	0	0
2023.04.03	00:00:00	15632.00	15673.00	15565.00	15643.00	28050	0	0
2023.04.04	00:00:00	15621.00	15752.00	15598.00	15628.00	28346	0	0
2023.04.05	00:00:00	15640.00	15645.00	15489.00	15549.00	29280	0	0
2023.04.06	00:00:00	15530.00	15673.00	15499.00	15648.00	23821	0	0
2023.04.11	00:00:00	15720.00	15756.00	15640.00	15688.00	22370	0	0
2023.04.12	00:00:00	15693.00	15849.00	15673.00	15705.00	31080	0	0
2023.04.13	00:00:00	15689.00	15798.00	15674.00	15792.00	25067	0	0
2023.04.14	00:00:00	15781.00	15861.00	15773.00	15822.00	31372	0	0
2023.04.17	00:00:00	15860.00	15926.00	15783.00	15844.00	23331	0	0
2023.04.18	00:00:00	15834.00	15939.00	15821.00	15925.00	21074	0	0
2023.04.19	00:00:00	15911.00	15948.00	15850.00	15933.00	21471	0	0
2023.04.20	00:00:00	15904.00	15927.00	15755.00	15821.00	23706	0	0
2023.04.21	00:00:00	15813.00	15935.00	15728.00	15925.00	28157	0	0
2023.04.24	00:00:00	15906.00	15945.00	15857.00	15908.00	18611	0	0
2023.04.25	00:00:00	15903.00	15917.00	15808.00	15812.00	24857	0	0
2023.04.26	00:00:00	15833.00	15853.00	15715.00	15765.00	37326	0	0
2023.04.27	00:00:00	15779.00	15898.00	15725.00	15898.00	27382	0	0
2023.04.28	00:00:00	15867.00	15978.00	15701.00	15968.00	37613	0	0
2023.05.02	00:00:00	15967.00	16033.00	15719.00	15785.00	34890	0	0
2023.05.03	00:00:00	15783.00	15907.00	15761.00	15796.00	35484	0	0
2023.05.04	00:00:00	15744.00	15845.00	15666.00	15754.00	49037	0	0
