<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.01.02	00:00:00	130.923	131.045	130.600	130.601	47398	0	50
2023.01.03	00:00:00	130.738	131.404	129.515	130.986	220692	0	50
2023.01.04	00:00:00	131.017	132.719	129.927	132.652	223115	0	50
2023.01.05	00:00:00	132.565	134.055	131.683	133.423	224304	0	50
2023.01.06	00:00:00	133.405	134.775	131.998	132.143	217028	0	50
2023.01.09	00:00:00	131.897	132.656	131.309	131.886	201431	0	50
2023.01.10	00:00:00	131.882	132.478	131.388	132.236	206639	0	50
2023.01.11	00:00:00	132.242	132.872	132.050	132.492	177107	0	50
2023.01.12	00:00:00	132.297	132.478	128.865	129.322	257303	0	50
2023.01.13	00:00:00	129.161	129.427	127.461	127.861	229044	0	50
2023.01.16	00:00:00	127.772	128.866	127.224	128.502	171970	0	50
2023.01.17	00:00:00	128.434	129.156	127.992	128.154	208913	0	50
2023.01.18	00:00:00	128.015	131.576	127.568	128.916	290469	0	50
2023.01.19	00:00:00	128.856	128.891	127.765	128.426	201240	0	50
2023.01.20	00:00:00	128.418	130.613	128.352	129.589	184268	0	50
2023.01.23	00:00:00	129.454	130.889	129.042	130.681	175596	0	50
2023.01.24	00:00:00	130.629	131.118	129.727	130.177	161364	0	50
2023.01.25	00:00:00	130.162	130.585	129.268	129.586	172854	0	50
2023.01.26	00:00:00	129.588	130.618	129.026	130.222	177421	0	50
2023.01.27	00:00:00	130.219	130.268	129.497	129.830	166270	0	50
2023.01.30	00:00:00	129.680	130.568	129.205	130.439	167094	0	50
2023.01.31	00:00:00	130.269	130.529	129.746	130.100	164974	0	50
2023.02.01	00:00:00	130.031	130.412	128.544	128.961	186050	0	50
2023.02.02	00:00:00	128.921	129.134	128.083	128.701	200593	0	50
2023.02.03	00:00:00	128.576	131.202	128.329	131.180	181351	0	50
2023.02.06	00:00:00	132.448	132.903	131.513	132.624	191722	0	50
2023.02.07	00:00:00	132.627	132.706	130.476	131.068	214050	0	50
2023.02.08	00:00:00	131.020	131.537	130.595	131.438	180230	0	50
2023.02.09	00:00:00	131.315	131.827	130.342	131.514	183989	0	50
2023.02.10	00:00:00	131.543	131.889	129.807	131.373	222057	0	50
2023.02.13	00:00:00	131.241	132.911	131.200	132.418	155477	0	50
2023.02.14	00:00:00	132.374	133.316	131.507	133.092	219324	0	50
2023.02.15	00:00:00	133.092	134.360	132.545	134.161	175028	0	50
2023.02.16	00:00:00	134.119	134.462	133.605	133.941	183880	0	50
2023.02.17	00:00:00	133.950	135.115	133.914	134.147	161397	0	50
2023.02.20	00:00:00	134.187	134.538	133.923	134.280	118455	0	50
2023.02.21	00:00:00	134.190	135.227	134.148	135.023	156092	0	50
2023.02.22	00:00:00	134.997	135.061	134.365	134.910	167795	0	50
2023.02.23	00:00:00	134.819	135.368	134.490	134.676	140689	0	50
2023.02.24	00:00:00	134.695	136.518	134.061	136.480	189448	0	50
2023.02.27	00:00:00	136.414	136.560	135.917	136.225	139083	0	50
2023.02.28	00:00:00	136.179	136.918	135.738	136.231	150764	0	50
2023.03.01	00:00:00	136.132	136.470	135.258	136.191	171069	0	50
2023.03.02	00:00:00	136.148	137.097	136.021	136.752	177787	0	50
2023.03.03	00:00:00	136.760	136.769	135.747	135.828	155912	0	50
2023.03.06	00:00:00	135.963	136.192	135.369	135.919	156267	0	50
2023.03.07	00:00:00	135.908	137.196	135.542	137.151	159481	0	50
2023.03.08	00:00:00	137.153	137.913	136.479	137.339	153915	0	50
2023.03.09	00:00:00	137.325	137.347	135.941	136.140	142730	0	50
2023.03.10	00:00:00	136.141	136.994	134.117	135.062	235161	0	50
2023.03.13	00:00:00	134.536	135.045	132.285	133.245	309622	0	50
2023.03.14	00:00:00	133.175	134.904	133.029	134.198	242034	0	50
2023.03.15	00:00:00	134.214	135.113	132.215	133.431	292830	0	50
2023.03.16	00:00:00	133.364	133.828	131.719	133.747	259727	0	50
2023.03.17	00:00:00	133.715	133.731	131.557	131.806	219064	0	50
2023.03.20	00:00:00	131.795	132.650	130.541	131.304	257929	0	50
2023.03.21	00:00:00	131.317	132.627	131.034	132.457	164676	0	50
2023.03.22	00:00:00	132.477	133.003	131.005	131.514	186643	0	50
2023.03.23	00:00:00	131.410	131.663	130.324	130.843	219687	0	50
2023.03.24	00:00:00	130.768	130.941	129.641	130.724	215085	0	50
2023.03.27	00:00:00	130.538	131.760	130.410	131.565	156438	0	50
2023.03.28	00:00:00	131.533	131.562	130.407	130.897	155396	0	50
2023.03.29	00:00:00	130.814	132.888	130.760	132.864	147777	0	50
2023.03.30	00:00:00	132.846	132.968	132.206	132.681	143958	0	50
2023.03.31	00:00:00	132.636	133.595	132.572	132.816	156352	0	50
2023.04.03	00:00:00	133.381	133.756	132.204	132.404	153423	0	50
2023.04.04	00:00:00	132.388	133.168	131.521	131.719	147604	0	50
2023.04.05	00:00:00	131.695	131.844	130.604	131.328	148822	0	50
2023.04.06	00:00:00	131.309	131.904	130.779	131.766	106583	0	50
2023.04.07	00:00:00	131.734	132.377	131.527	132.147	76978	0	50
2023.04.10	00:00:00	132.086	133.870	131.829	133.599	95151	0	50
2023.04.11	00:00:00	133.593	133.805	132.972	133.688	99302	0	50
2023.04.12	00:00:00	133.648	134.046	132.735	133.139	128838	0	50
2023.04.13	00:00:00	133.120	133.392	132.021	132.576	108034	0	50
2023.04.14	00:00:00	132.574	133.836	132.169	133.740	115884	0	50
2023.04.17	00:00:00	133.796	134.575	133.711	134.471	95217	0	50
2023.04.18	00:00:00	134.407	134.708	133.862	134.100	102880	0	50
2023.04.19	00:00:00	134.090	135.132	133.954	134.707	96114	0	50
2023.04.20	00:00:00	134.670	134.972	134.013	134.242	100127	0	50
2023.04.21	00:00:00	134.228	134.493	133.550	134.127	106413	0	50
2023.04.24	00:00:00	133.995	134.731	133.892	134.252	95778	0	50
2023.04.25	00:00:00	134.229	134.475	133.368	133.728	129633	0	50
2023.04.26	00:00:00	133.722	133.942	133.016	133.656	147108	0	50
2023.04.27	00:00:00	133.658	134.197	133.200	133.983	122031	0	50
2023.04.28	00:00:00	133.903	136.560	133.327	136.277	189826	0	50
2023.05.01	00:00:00	136.112	137.537	136.112	137.464	114999	0	50
2023.05.02	00:00:00	137.493	137.773	136.316	136.563	150404	0	50
2023.05.03	00:00:00	136.508	136.608	134.728	134.770	160375	0	50
2023.05.04	00:00:00	134.673	134.877	133.500	134.275	201272	0	50
2023.05.05	00:00:00	134.244	135.125	133.884	134.833	138879	0	50
2023.05.08	00:00:00	134.778	135.298	134.642	135.117	119127	0	50
2023.05.09	00:00:00	135.004	135.357	134.723	135.231	142905	0	50
2023.05.10	00:00:00	135.147	135.471	134.114	134.370	159681	0	50
2023.05.11	00:00:00	134.301	134.843	133.745	134.562	169185	0	50
2023.05.12	00:00:00	134.406	135.754	134.338	135.722	119734	0	50
2023.05.15	00:00:00	135.642	136.326	135.623	136.104	118208	0	50
2023.05.16	00:00:00	136.106	136.685	135.656	136.383	122705	0	50
2023.05.17	00:00:00	136.365	137.712	136.305	137.699	126429	0	50
2023.05.18	00:00:00	137.665	138.747	137.288	138.700	136972	0	50
2023.05.19	00:00:00	138.711	138.712	137.424	137.962	148317	0	50
2023.05.22	00:00:00	137.967	138.686	137.492	138.589	128056	0	50
2023.05.23	00:00:00	138.589	138.910	138.243	138.574	145638	0	50
2023.05.24	00:00:00	138.578	139.477	138.231	139.472	146016	0	50
2023.05.25	00:00:00	139.450	140.227	138.824	140.036	161676	0	50
2023.05.26	00:00:00	140.045	140.724	139.495	140.597	146800	0	50
2023.05.29	00:00:00	140.567	140.921	140.115	140.431	70565	0	50
2023.05.30	00:00:00	140.311	140.932	139.572	139.787	154760	0	50
2023.05.31	00:00:00	139.785	140.379	139.234	139.339	150683	0	50
2023.06.01	00:00:00	139.332	139.949	138.435	138.792	146129	0	50
2023.06.02	00:00:00	138.786	140.070	138.606	139.964	131781	0	50
2023.06.05	00:00:00	139.944	140.453	139.249	139.581	127565	0	50
2023.06.06	00:00:00	139.564	139.993	139.096	139.632	128806	0	50
2023.06.07	00:00:00	139.627	140.248	139.025	140.171	129665	0	50
2023.06.08	00:00:00	140.071	140.226	138.809	138.919	133331	0	50
2023.06.09	00:00:00	138.918	139.725	138.763	139.368	124463	0	50
2023.06.12	00:00:00	139.280	139.769	139.063	139.606	116876	0	50
2023.06.13	00:00:00	139.588	140.307	139.012	140.223	140538	0	50
2023.06.14	00:00:00	140.198	140.277	139.284	140.082	142483	0	50
2023.06.15	00:00:00	139.990	141.502	139.943	140.275	164525	0	50
2023.06.16	00:00:00	140.251	141.913	139.853	141.885	158112	0	50
2023.06.19	00:00:00	141.683	142.001	141.441	141.987	91929	0	50
2023.06.20	00:00:00	141.968	142.255	141.214	141.430	140927	0	50
2023.06.21	00:00:00	141.452	142.367	141.283	141.890	146138	0	50
2023.06.22	00:00:00	141.852	143.229	141.610	143.105	135443	0	50
2023.06.23	00:00:00	143.107	143.873	142.656	143.723	155470	0	50
2023.06.26	00:00:00	143.464	143.720	142.938	143.506	135443	0	50
2023.06.27	00:00:00	143.474	144.172	143.285	144.071	126205	0	50
2023.06.28	00:00:00	144.066	144.616	143.731	144.485	137467	0	50
2023.06.29	00:00:00	144.478	144.899	144.135	144.779	141078	0	50
2023.06.30	00:00:00	144.711	145.075	144.206	144.297	137395	0	50
2023.07.03	00:00:00	144.257	144.913	143.984	144.653	113667	0	50
2023.07.04	00:00:00	144.640	144.700	144.208	144.469	71463	0	50
2023.07.05	00:00:00	144.436	144.734	144.079	144.662	112655	0	50
2023.07.06	00:00:00	144.645	144.654	143.555	144.059	151217	0	50
2023.07.07	00:00:00	144.041	144.199	142.071	142.104	148707	0	50
2023.07.10	00:00:00	142.105	143.005	141.277	141.324	126388	0	50
2023.07.11	00:00:00	141.310	141.463	140.158	140.350	130526	0	50
2023.07.12	00:00:00	140.356	140.378	138.156	138.513	151194	0	50
2023.07.13	00:00:00	138.455	138.955	137.921	138.048	144769	0	50
2023.07.14	00:00:00	138.041	139.157	137.245	138.797	150827	0	50
2023.07.17	00:00:00	138.595	139.410	138.000	138.718	115459	0	50
2023.07.18	00:00:00	138.707	139.137	137.681	138.839	147879	0	50
2023.07.19	00:00:00	138.809	139.993	138.763	139.673	142911	0	50
2023.07.20	00:00:00	139.533	140.497	139.112	140.068	138157	0	50
2023.07.21	00:00:00	140.069	141.954	139.750	141.830	136586	0	50
2023.07.24	00:00:00	141.548	141.815	140.741	141.480	132992	0	50
2023.07.25	00:00:00	141.450	141.735	140.852	140.900	112121	0	50
2023.07.26	00:00:00	140.897	141.186	139.930	140.244	139254	0	50
2023.07.27	00:00:00	140.235	141.321	138.768	139.459	178953	0	50
2023.07.28	00:00:00	139.343	141.176	138.065	141.168	203397	0	50
2023.07.31	00:00:00	140.915	142.682	140.693	142.265	156837	0	50
2023.08.01	00:00:00	142.284	143.545	142.211	143.327	126951	0	50
2023.08.02	00:00:00	143.330	143.475	142.236	143.323	152634	0	50
2023.08.03	00:00:00	143.321	143.891	142.066	142.522	163867	0	50
2023.08.04	00:00:00	142.504	142.885	141.551	141.763	136606	0	50
2023.08.07	00:00:00	141.659	142.583	141.514	142.473	90344	0	50
2023.08.08	00:00:00	142.487	143.494	142.403	143.381	117030	0	50
2023.08.09	00:00:00	143.363	143.749	143.000	143.724	93337	0	50
2023.08.10	00:00:00	143.717	144.816	143.283	144.750	111330	0	50
2023.08.11	00:00:00	144.713	145.002	144.374	144.941	84046	0	50
2023.08.14	00:00:00	144.937	145.578	144.651	145.542	88558	0	50
2023.08.15	00:00:00	145.551	145.866	145.106	145.575	107797	0	50
2023.08.16	00:00:00	145.558	146.406	145.306	146.348	99443	0	50
2023.08.17	00:00:00	146.343	146.559	145.618	145.846	97928	0	50
2023.08.18	00:00:00	145.833	145.867	144.928	145.378	102656	0	50
2023.08.21	00:00:00	145.291	146.402	145.146	146.228	90621	0	50
2023.08.22	00:00:00	146.196	146.402	145.496	145.882	97735	0	50
2023.08.23	00:00:00	145.867	145.878	144.541	144.848	112912	0	50
2023.08.24	00:00:00	144.807	145.958	144.603	145.844	103156	0	50
2023.08.25	00:00:00	145.817	146.633	145.726	146.444	107528	0	50
2023.08.28	00:00:00	146.392	146.743	146.274	146.540	79213	0	50
2023.08.29	00:00:00	146.526	147.376	145.670	145.875	106670	0	50
2023.08.30	00:00:00	145.879	146.537	145.557	146.252	114597	0	50
2023.08.31	00:00:00	146.220	146.224	145.349	145.530	106929	0	50
2023.09.01	00:00:00	145.520	146.294	144.442	146.259	106519	0	50
2023.09.04	00:00:00	146.066	146.221	146.060	146.185	301	0	50
2023.09.04	01:00:00	146.185	146.244	146.155	146.165	931	0	50
2023.09.04	02:00:00	146.166	146.166	146.025	146.067	1587	0	50
2023.09.04	03:00:00	146.066	146.215	146.039	146.162	3179	0	50
2023.09.04	04:00:00	146.163	146.247	146.076	146.222	4785	0	50
2023.09.04	05:00:00	146.219	146.219	146.080	146.142	2916	0	50
2023.09.04	06:00:00	146.140	146.194	146.110	146.157	1895	0	50
2023.09.04	07:00:00	146.158	146.204	146.137	146.160	1588	0	50
2023.09.04	08:00:00	146.162	146.239	146.136	146.185	2086	0	50
2023.09.04	09:00:00	146.185	146.210	146.132	146.188	3388	0	50
2023.09.04	10:00:00	146.187	146.454	146.183	146.410	6011	0	50
