<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.01.03	00:00:00	1828.22	1849.97	1823.56	1839.51	191064	0	0
2023.01.04	00:00:00	1838.48	1865.12	1836.22	1854.65	185748	0	0
2023.01.05	00:00:00	1854.73	1859.01	1825.08	1832.91	172542	0	0
2023.01.06	00:00:00	1831.83	1869.88	1831.39	1866.43	162710	0	0
2023.01.09	00:00:00	1866.39	1881.53	1866.39	1871.67	163747	0	0
2023.01.10	00:00:00	1870.58	1880.77	1867.86	1876.93	156458	0	0
2023.01.11	00:00:00	1877.13	1886.64	1867.16	1875.69	155861	0	0
2023.01.12	00:00:00	1876.99	1901.60	1872.44	1896.78	178752	0	0
2023.01.13	00:00:00	1895.85	1921.90	1892.36	1920.59	174720	0	0
2023.01.16	00:00:00	1918.37	1928.98	1910.86	1915.49	110469	0	0
2023.01.17	00:00:00	1916.04	1919.05	1903.79	1908.57	164554	0	0
2023.01.18	00:00:00	1908.25	1925.93	1896.62	1904.28	197142	0	0
2023.01.19	00:00:00	1903.32	1935.20	1901.02	1932.11	183622	0	0
2023.01.20	00:00:00	1932.10	1937.54	1920.69	1926.82	161528	0	0
2023.01.23	00:00:00	1924.35	1935.54	1911.42	1930.88	158619	0	0
2023.01.24	00:00:00	1931.03	1942.52	1917.16	1937.28	151031	0	0
2023.01.25	00:00:00	1937.43	1948.04	1919.89	1946.16	151019	0	0
2023.01.26	00:00:00	1946.56	1949.20	1918.62	1929.08	162214	0	0
2023.01.27	00:00:00	1929.18	1934.96	1916.74	1928.80	140306	0	0
2023.01.30	00:00:00	1926.88	1934.51	1920.68	1923.20	149789	0	0
2023.01.31	00:00:00	1922.58	1931.09	1900.82	1928.07	164386	0	0
2023.02.01	00:00:00	1927.57	1954.52	1920.58	1950.14	169610	0	0
2023.02.02	00:00:00	1952.95	1959.67	1911.30	1912.61	212708	0	0
2023.02.03	00:00:00	1912.93	1918.58	1861.40	1865.75	203868	0	0
2023.02.06	00:00:00	1864.28	1881.34	1863.05	1867.62	183870	0	0
2023.02.07	00:00:00	1867.60	1884.44	1864.99	1873.71	189123	0	0
2023.02.08	00:00:00	1872.93	1886.36	1869.10	1875.52	160398	0	0
2023.02.09	00:00:00	1874.94	1890.22	1858.98	1861.58	168851	0	0
2023.02.10	00:00:00	1862.23	1872.17	1852.77	1865.23	180411	0	0
2023.02.13	00:00:00	1864.06	1866.59	1850.48	1853.37	149699	0	0
